# Urban Heat Island Multi-Agent Dataset (100 lines)
# Format: timestamp,user_id,latitude,longitude,temperature,humidity,air_quality,noise_level,wind_speed,surface_material,vegetation_density,building_height,population_density,biometric_verified,activity_type,heat_stress_level

2026-04-25T08:00:00Z,user_001,34.0522,-118.2437,28.5,45,good,45,2.3,concrete,low,15,high,yes,commuting,low
2026-04-25T08:15:00Z,user_002,34.0523,-118.2438,29.1,48,moderate,52,1.8,asphalt,low,20,high,yes,commuting,low
2026-04-25T08:30:00Z,user_003,34.0524,-118.2439,30.2,50,moderate,58,2.1,concrete,medium,25,medium,yes,outdoor_activity,medium
2026-04-25T08:45:00Z,user_004,34.0525,-118.2440,31.5,52,poor,65,1.5,asphalt,low,30,high,yes,commuting,medium
2026-04-25T09:00:00Z,user_005,34.0526,-118.2441,32.8,55,poor,72,1.2,concrete,low,35,high,yes,commuting,high
2026-04-25T09:15:00Z,user_006,34.0527,-118.2442,34.2,58,poor,78,0.8,asphalt,very_low,40,very_high,yes,outdoor_work,high
2026-04-25T09:30:00Z,user_007,34.0528,-118.2443,35.8,60,poor,85,0.5,concrete,very_low,45,very_high,yes,outdoor_work,very_high
2026-04-25T09:45:00Z,user_008,34.0529,-118.2444,36.5,62,poor,88,0.3,asphalt,very_low,50,very_high,yes,outdoor_work,very_high
2026-04-25T10:00:00Z,user_009,34.0530,-118.2445,37.2,65,very_poor,92,0.2,concrete,very_low,55,very_high,yes,outdoor_work,very_high
2026-04-25T10:15:00Z,user_010,34.0531,-118.2446,38.1,68,very_poor,95,0.1,asphalt,very_low,60,very_high,yes,outdoor_work,very_high
2026-04-25T10:30:00Z,user_011,34.0532,-118.2447,38.8,70,very_poor,98,0.0,concrete,very_low,65,very_high,yes,outdoor_work,very_high
2026-04-25T10:45:00Z,user_012,34.0533,-118.2448,39.5,72,very_poor,102,0.0,asphalt,very_low,70,very_high,yes,outdoor_work,very_high
2026-04-25T11:00:00Z,user_013,34.0534,-118.2449,40.2,75,very_poor,105,0.0,concrete,very_low,75,very_high,yes,outdoor_work,very_high
2026-04-25T11:15:00Z,user_014,34.0535,-118.2450,41.0,78,very_poor,108,0.0,asphalt,very_low,80,very_high,yes,outdoor_work,very_high
2026-04-25T11:30:00Z,user_015,34.0536,-118.2451,41.8,80,very_poor,112,0.0,concrete,very_low,85,very_high,yes,outdoor_work,very_high
2026-04-25T11:45:00Z,user_016,34.0537,-118.2452,42.5,82,very_poor,115,0.0,asphalt,very_low,90,very_high,yes,outdoor_work,very_high
